Mod:Item:MetaData, Localized Name
minecraft:air, Air
minecraft:stone:0, Stone
minecraft:stone:1, Granite
minecraft:stone:2, Polished Granite
minecraft:stone:3, Diorite
minecraft:stone:4, Polished Diorite
minecraft:stone:5, Andesite
minecraft:stone:6, Polished Andesite
minecraft:grass, Grass Block
minecraft:dirt:0, Dirt
minecraft:dirt:1, Coarse Dirt
minecraft:dirt:2, Podzol
minecraft:cobblestone, Cobblestone
minecraft:planks:0, Oak Wood Planks
minecraft:planks:1, Spruce Wood Planks
minecraft:planks:2, Birch Wood Planks
minecraft:planks:3, Jungle Wood Planks
minecraft:planks:4, Acacia Wood Planks
minecraft:planks:5, Dark Oak Wood Planks
minecraft:sapling:0, Oak Sapling
minecraft:sapling:1, Spruce Sapling
minecraft:sapling:2, Birch Sapling
minecraft:sapling:3, Jungle Sapling
minecraft:sapling:4, Acacia Sapling
minecraft:sapling:5, Dark Oak Sapling
minecraft:bedrock, Bedrock
minecraft:sand:0, Sand
minecraft:sand:1, Red Sand
minecraft:gravel, Gravel
minecraft:gold_ore, Gold Ore
minecraft:iron_ore, Iron Ore
minecraft:coal_ore, Coal Ore
minecraft:log:0, Oak Wood
minecraft:log:1, Spruce Wood
minecraft:log:2, Birch Wood
minecraft:log:3, Jungle Wood
minecraft:leaves:0, Oak Leaves
minecraft:leaves:1, Spruce Leaves
minecraft:leaves:2, Birch Leaves
minecraft:leaves:3, Jungle Leaves
minecraft:sponge:0, Sponge
minecraft:sponge:1, Wet Sponge
minecraft:glass, Glass
minecraft:lapis_ore, Lapis Lazuli Ore
minecraft:lapis_block, Lapis Lazuli Block
minecraft:dispenser, Dispenser
minecraft:sandstone:0, Sandstone
minecraft:sandstone:1, Chiseled Sandstone
minecraft:sandstone:2, Smooth Sandstone
minecraft:noteblock, Note Block
minecraft:golden_rail, Powered Rail
minecraft:detector_rail, Wooden Detector Rail
minecraft:sticky_piston, Sticky Piston
minecraft:web, Cobweb
minecraft:tallgrass:1, Grass
minecraft:tallgrass:2, Fern
minecraft:deadbush, Dead Bush
minecraft:piston, Piston
minecraft:wool:0, White Wool
minecraft:wool:1, Orange Wool
minecraft:wool:2, Magenta Wool
minecraft:wool:3, Light Blue Wool
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Oak Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:mob_spawner, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Oak Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Rail
minecraft:stone_stairs, Cobblestone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Stone Pressure Plate
minecraft:wooden_pressure_plate, Wooden Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Oak Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Wooden Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Oak Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Rail
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Terracotta
minecraft:stained_hardened_clay:1, Orange Terracotta
minecraft:stained_hardened_clay:2, Magenta Terracotta
minecraft:stained_hardened_clay:3, Light Blue Terracotta
minecraft:stained_hardened_clay:4, Yellow Terracotta
minecraft:stained_hardened_clay:5, Lime Terracotta
minecraft:stained_hardened_clay:6, Pink Terracotta
minecraft:stained_hardened_clay:7, Gray Terracotta
minecraft:stained_hardened_clay:8, Light Gray Terracotta
minecraft:stained_hardened_clay:9, Cyan Terracotta
minecraft:stained_hardened_clay:10, Purple Terracotta
minecraft:stained_hardened_clay:11, Blue Terracotta
minecraft:stained_hardened_clay:12, Brown Terracotta
minecraft:stained_hardened_clay:13, Green Terracotta
minecraft:stained_hardened_clay:14, Red Terracotta
minecraft:stained_hardened_clay:15, Black Terracotta
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
minecraft:slime, Slime Block
minecraft:barrier, Barrier
minecraft:iron_trapdoor, Iron Trapdoor
minecraft:prismarine:0, Prismarine
minecraft:prismarine:1, Prismarine Bricks
minecraft:prismarine:2, Dark Prismarine
minecraft:sea_lantern, Sea Lantern
minecraft:hay_block, Hay Bale
minecraft:carpet:0, White Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Terracotta
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
minecraft:red_sandstone:0, Red Sandstone
minecraft:red_sandstone:1, Chiseled Red Sandstone
minecraft:red_sandstone:2, Smooth Red Sandstone
minecraft:red_sandstone_stairs, Red Sandstone Stairs
minecraft:stone_slab2:0, Red Sandstone Slab
minecraft:spruce_fence_gate, Spruce Fence Gate
minecraft:birch_fence_gate, Birch Fence Gate
minecraft:jungle_fence_gate, Jungle Fence Gate
minecraft:dark_oak_fence_gate, Dark Oak Fence Gate
minecraft:acacia_fence_gate, Acacia Fence Gate
minecraft:spruce_fence, Spruce Fence
minecraft:birch_fence, Birch Fence
minecraft:jungle_fence, Jungle Fence
minecraft:dark_oak_fence, Dark Oak Fence
minecraft:acacia_fence, Acacia Fence
minecraft:end_rod, End Rod
minecraft:chorus_plant, Chorus Plant
minecraft:chorus_flower, Chorus Flower
minecraft:purpur_block, Purpur Block
minecraft:purpur_pillar, Purpur Pillar
minecraft:purpur_stairs, Purpur Stairs
minecraft:purpur_slab:0, Purpur Slab
minecraft:end_bricks, End Stone Bricks
minecraft:grass_path, Grass Path
minecraft:repeating_command_block, Repeating Command Block
minecraft:chain_command_block, Chain Command Block
minecraft:magma, Liquid Magma
minecraft:nether_wart_block, Nether Wart Block
minecraft:red_nether_brick, Red Nether Brick
minecraft:bone_block, Bone Block
minecraft:structure_void, Structure Void
minecraft:observer, Observer
minecraft:white_shulker_box, White Shulker Box
minecraft:orange_shulker_box, Orange Shulker Box
minecraft:magenta_shulker_box, Magenta Shulker Box
minecraft:light_blue_shulker_box, Light Blue Shulker Box
